;Survived;Pclass;Sex;Age;SibSp;Age Group;Parch;Fare Group;Ticket;Fare;Embarked
0;0;3;male;22.0;1;LabelEncoder();0;3_quartile;A/5 21171;7.25;S
1;1;1;female;38.0;1;LabelEncoder();0;4_quartile;PC 17599;71.2833;C
2;1;3;female;26.0;0;LabelEncoder();0;3_quartile;STON/O2. 3101282;7.925;S
3;1;1;female;35.0;1;LabelEncoder();0;4_quartile;113803;53.1;S
4;0;3;male;35.0;0;LabelEncoder();0;4_quartile;373450;8.05;S
5;0;3;male;;0;LabelEncoder();0;;330877;8.4583;Q
6;0;1;male;54.0;0;LabelEncoder();0;4_quartile;17463;51.8625;S
7;0;3;male;2.0;3;LabelEncoder();1;1_quartile;349909;21.075;S
8;1;3;female;27.0;0;LabelEncoder();2;3_quartile;347742;11.1333;S
9;1;2;female;14.0;1;LabelEncoder();0;2_quartile;237736;30.0708;C
10;1;3;female;4.0;1;LabelEncoder();1;1_quartile;PP 9549;16.7;S
11;1;1;female;58.0;0;LabelEncoder();0;4_quartile;113783;26.55;S
12;0;3;male;20.0;0;LabelEncoder();0;3_quartile;A/5. 2151;8.05;S
13;0;3;male;39.0;1;LabelEncoder();5;4_quartile;347082;31.275;S
14;0;3;female;14.0;0;LabelEncoder();0;2_quartile;350406;7.8542;S
15;1;2;female;55.0;0;LabelEncoder();0;4_quartile;248706;16.0;S
16;0;3;male;2.0;4;LabelEncoder();1;1_quartile;382652;29.125;Q
17;1;2;male;;0;LabelEncoder();0;;244373;13.0;S
18;0;3;female;31.0;1;LabelEncoder();0;3_quartile;345763;18.0;S
19;1;3;female;;0;LabelEncoder();0;;2649;7.225;C
20;0;2;male;35.0;0;LabelEncoder();0;4_quartile;239865;26.0;S
21;1;2;male;34.0;0;LabelEncoder();0;4_quartile;248698;13.0;S
22;1;3;female;15.0;0;LabelEncoder();0;2_quartile;330923;8.0292;Q
23;1;1;male;28.0;0;LabelEncoder();0;3_quartile;113788;35.5;S
24;0;3;female;8.0;3;LabelEncoder();1;1_quartile;349909;21.075;S
25;1;3;female;38.0;1;LabelEncoder();5;4_quartile;347077;31.3875;S
26;0;3;male;;0;LabelEncoder();0;;2631;7.225;C
27;0;1;male;19.0;3;LabelEncoder();2;3_quartile;19950;263.0;S
28;1;3;female;;0;LabelEncoder();0;;330959;7.8792;Q
29;0;3;male;;0;LabelEncoder();0;;349216;7.8958;S
30;0;1;male;40.0;0;LabelEncoder();0;4_quartile;PC 17601;27.7208;C
31;1;1;female;;1;LabelEncoder();0;;PC 17569;146.5208;C
32;1;3;female;;0;LabelEncoder();0;;335677;7.75;Q
33;0;2;male;66.0;0;LabelEncoder();0;4_quartile;C.A. 24579;10.5;S
34;0;1;male;28.0;1;LabelEncoder();0;3_quartile;PC 17604;82.1708;C
35;0;1;male;42.0;1;LabelEncoder();0;4_quartile;113789;52.0;S
36;1;3;male;;0;LabelEncoder();0;;2677;7.2292;C
37;0;3;male;21.0;0;LabelEncoder();0;3_quartile;A./5. 2152;8.05;S
38;0;3;female;18.0;2;LabelEncoder();0;3_quartile;345764;18.0;S
39;1;3;female;14.0;1;LabelEncoder();0;2_quartile;2651;11.2417;C
40;0;3;female;40.0;1;LabelEncoder();0;4_quartile;7546;9.475;S
41;0;2;female;27.0;1;LabelEncoder();0;3_quartile;11668;21.0;S
42;0;3;male;;0;LabelEncoder();0;;349253;7.8958;C
43;1;2;female;3.0;1;LabelEncoder();2;1_quartile;SC/Paris 2123;41.5792;C
44;1;3;female;19.0;0;LabelEncoder();0;3_quartile;330958;7.8792;Q
45;0;3;male;;0;LabelEncoder();0;;S.C./A.4. 23567;8.05;S
46;0;3;male;;1;LabelEncoder();0;;370371;15.5;Q
47;1;3;female;;0;LabelEncoder();0;;14311;7.75;Q
48;0;3;male;;2;LabelEncoder();0;;2662;21.6792;C
49;0;3;female;18.0;1;LabelEncoder();0;3_quartile;349237;17.8;S
50;0;3;male;7.0;4;LabelEncoder();1;1_quartile;3101295;39.6875;S
51;0;3;male;21.0;0;LabelEncoder();0;3_quartile;A/4. 39886;7.8;S
52;1;1;female;49.0;1;LabelEncoder();0;4_quartile;PC 17572;76.7292;C
53;1;2;female;29.0;1;LabelEncoder();0;3_quartile;2926;26.0;S
54;0;1;male;65.0;0;LabelEncoder();1;4_quartile;113509;61.9792;C
55;1;1;male;;0;LabelEncoder();0;;19947;35.5;S
56;1;2;female;21.0;0;LabelEncoder();0;3_quartile;C.A. 31026;10.5;S
57;0;3;male;28.5;0;LabelEncoder();0;3_quartile;2697;7.2292;C
58;1;2;female;5.0;1;LabelEncoder();2;1_quartile;C.A. 34651;27.75;S
59;0;3;male;11.0;5;LabelEncoder();2;2_quartile;CA 2144;46.9;S
60;0;3;male;22.0;0;LabelEncoder();0;3_quartile;2669;7.2292;C
61;1;1;female;38.0;0;LabelEncoder();0;4_quartile;113572;80.0;
