course;stop_code;stop_id;stop_name;route_short_name;trip_headsign;direction_id;departure_time;is_theorical;delay_sec;dest_ar_code
268435897;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;11:43:50;0;92;41101
268435830;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;11:48:45;0;387;41101
268435870;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;11:54:01;0;703;41101
268435727;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;11:48:42;0;384;41101
268435767;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;11:53:42;0;684;41101
268435897;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;12:00:05;0;1067;41101
268435472;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;11:45:26;0;188;41101
268435798;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;11:49:07;0;409;41101
268435727;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;11:58:10;0;952;41101
268435767;COMEDRTW;41223;COMEDIE;1;MOSSON;1;11:43:52;0;94;41101
268435897;COMEDRTW;41223;COMEDIE;1;MOSSON;1;11:49:41;0;443;41101
268435830;COMEDRTW;41223;COMEDIE;1;MOSSON;1;11:54:45;0;747;41101
268435767;CORUMRTW;41225;CORUM T1;1;MOSSON;1;11:46:52;0;274;41101
268435897;CORUMRTW;41225;CORUM T1;1;MOSSON;1;11:52:41;0;623;41101
268435830;CORUMRTW;41225;CORUM T1;1;MOSSON;1;11:57:45;0;927;41101
268435897;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;11:46:07;0;229;41101
268435830;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;11:50:42;0;504;41101
268435870;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;11:56:40;0;862;41101
268435695;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;11:45:30;0;192;41101
268435472;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;11:49:02;0;404;41101
268435798;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;11:53:03;0;645;41101
268435897;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;11:48:13;0;355;41101
268435830;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;11:53:08;0;650;41101
268435870;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;11:58:43;0;985;41101
268435695;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;11:51:06;0;528;41101
268435472;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;11:54:44;0;746;41101
268435798;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;11:58:21;0;963;41101
268435695;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;11:47:30;0;312;41101
268435472;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;11:51:02;0;524;41101
268435798;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;11:55:03;0;765;41101
268435798;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;11:45:53;0;215;41101
268435727;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;11:54:56;0;758;41101
268435767;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;11:59:39;0;1041;41101
268435830;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;11:47:07;0;289;41101
268435870;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;11:52:37;0;619;41101
268435929;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;11:58:59;0;1001;41101
268435727;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;11:43:52;0;94;41101
268435767;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;11:48:35;0;377;41101
268435897;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;11:54:53;0;755;41101
268435695;MALBORTW;41245;MALBOSC;1;MOSSON;1;11:43:30;0;72;41101
268435472;MALBORTW;41245;MALBOSC;1;MOSSON;1;11:47:02;0;284;41101
268435798;MALBORTW;41245;MALBOSC;1;MOSSON;1;11:51:03;0;525;41101
268435870;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;11:43:23;0;65;41101
268435929;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;11:49:23;0;425;41101
268435516;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;11:55:23;0;785;41101
268435870;MONDIRTW;41205;MONDIAL 98;1;MOSSON;1;11:44:27;0;129;41101
268435929;MONDIRTW;41205;MONDIAL 98;1;MOSSON;1;11:50:49;0;511;41101
268435516;MONDIRTW;41205;MONDIAL 98;1;MOSSON;1;11:56:49;0;871;41101
268435870;MOULARTW;41209;MOULARES;1;MOSSON;1;11:47:27;0;309;41101
268435929;MOULARTW;41209;MOULARES;1;MOSSON;1;11:53:49;0;691;41101
268435516;MOULARTW;41209;MOULARES;1;MOSSON;1;11:59:49;0;1051;41101
268435472;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;11:43:02;0;44;41101
268435798;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;11:47:03;0;285;41101
268435727;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;11:55:30;0;792;41101
268435929;ODYSSETW;41201;ODYSSEUM;1;MOSSON;1;11:46:00;0;222;41101
268435516;ODYSSETW;41201;ODYSSEUM;1;MOSSON;1;11:52:00;0;582;41101
268435969;ODYSSETW;41201;ODYSSEUM;1;MOSSON;1;11:58:00;0;942;41101
268435727;PHILIRTW;41231;PHILIPPIDES;1;MOSSON;1;11:47:35;0;317;41101
268435767;PHILIRTW;41231;PHILIPPIDES;1;MOSSON;1;11:52:41;0;623;41101
268435897;PHILIRTW;41231;PHILIPPIDES;1;MOSSON;1;11:58:54;0;996;41101
268435830;EUROPRTW;41213;PL. DE L'EUROPE;1;MOSSON;1;11:44:44;0;146;41101
268435870;EUROPRTW;41213;PL. DE L'EUROPE;1;MOSSON;1;11:50:42;0;504;41101
268435929;EUROPRTW;41213;PL. DE L'EUROPE;1;MOSSON;1;11:56:59;0;881;41101
268435727;ALBE1RTW;41229;PLACE ALBERT 1ER;1;MOSSON;1;11:45:46;0;208;41101
268435767;ALBE1RTW;41229;PLACE ALBERT 1ER;1;MOSSON;1;11:50:52;0;514;41101
268435897;ALBE1RTW;41229;PLACE ALBERT 1ER;1;MOSSON;1;11:56:41;0;863;41101
268435929;PFRANCEE;41261;PLACE DE FRANCE;1;MOSSON;1;11:47:59;0;341;41101
268435516;PFRANCEE;41261;PLACE DE FRANCE;1;MOSSON;1;11:53:59;0;701;41101
268435969;PFRANCEE;41261;PLACE DE FRANCE;1;MOSSON;1;11:59:59;0;1061;41101
268435870;PMARIRTW;41207;PORT MARIANNE;1;MOSSON;1;11:45:42;0;204;41101
268435929;PMARIRTW;41207;PORT MARIANNE;1;MOSSON;1;11:51:59;0;581;41101
268435516;PMARIRTW;41207;PORT MARIANNE;1;MOSSON;1;11:57:59;0;941;41101
268435830;RILEZRTW;41211;RIVES DU LEZ T1;1;MOSSON;1;11:43:44;0;86;41101
268435870;RILEZRTW;41211;RIVES DU LEZ T1;1;MOSSON;1;11:49:42;0;444;41101
268435929;RILEZRTW;41211;RIVES DU LEZ T1;1;MOSSON;1;11:55:59;0;821;41101
268435727;STELORTW;41235;SAINT-ELOI;1;MOSSON;1;11:50:46;0;508;41101
268435767;STELORTW;41235;SAINT-ELOI;1;MOSSON;1;11:55:52;0;814;41101
268435897;STELORTW;41235;SAINT-ELOI;1;MOSSON;1;12:01:41;0;1163;41101
268435695;STPAURTW;41251;SAINT-PAUL;1;MOSSON;1;11:49:30;0;432;41101
268435472;STPAURTW;41251;SAINT-PAUL;1;MOSSON;1;11:53:02;0;644;41101
268435798;STPAURTW;41251;SAINT-PAUL;1;MOSSON;1;11:57:03;0;885;41101
268436153;STMOSSOS;41263;STADE MOSSON;1;MOSSON;1;11:42:28;0;10;41101
268435695;STMOSSOS;41263;STADE MOSSON;1;MOSSON;1;11:52:30;0;612;41101
268435472;STMOSSOS;41263;STADE MOSSON;1;MOSSON;1;11:56:02;0;824;41101
268435798;SCIENRTW;41237;UNIVERSITES;1;MOSSON;1;11:43:24;0;66;41101
268435727;SCIENRTW;41237;UNIVERSITES;1;MOSSON;1;11:52:31;0;613;41101
268435767;SCIENRTW;41237;UNIVERSITES;1;MOSSON;1;11:56:51;0;873;41101
268436034;ANTIGATW;41139;ANTIGONE;1;ODYSSEUM;0;11:49:23;0;425;41155
268435557;ANTIGATW;41139;ANTIGONE;1;ODYSSEUM;0;11:51:30;0;552;41155
268436062;ANTIGATW;41139;ANTIGONE;1;ODYSSEUM;0;11:58:34;0;976;41155
268436098;BOUTOATW;41123;BOUTONNET;1;ODYSSEUM;0;11:47:26;0;308;41155
268435601;BOUTOATW;41123;BOUTONNET;1;ODYSSEUM;0;11:54:47;0;749;41155
268436126;BOUTOATW;41123;BOUTONNET;1;ODYSSEUM;0;11:59:37;0;1039;41155
268435601;CHATOATW;41113;CHATEAU D'O;1;ODYSSEUM;0;11:45:37;0;199;41155
268436126;CHATOATW;41113;CHATEAU D'O;1;ODYSSEUM;0;11:51:01;0;523;41155
268435645;CHATOATW;41113;CHATEAU D'O;1;ODYSSEUM;0;11:57:00;0;882;41155
268436034;COMEDATW;41133;COMEDIE;1;ODYSSEUM;0;11:43:02;0;44;41155
268435557;COMEDATW;41133;COMEDIE;1;ODYSSEUM;0;11:44:56;0;158;41155
268436062;COMEDATW;41133;COMEDIE;1;ODYSSEUM;0;11:52:07;0;589;41155
268436062;CORUMATW;41131;CORUM T1;1;ODYSSEUM;0;11:49:07;0;409;41155
268436098;CORUMATW;41131;CORUM T1;1;ODYSSEUM;0;11:54:39;0;741;41155
268435601;CORUMATW;41131;CORUM T1;1;ODYSSEUM;0;12:01:37;0;1159;41155
268436034;DUGUESCS;41138;DU GUESCLIN;1;ODYSSEUM;0;11:47:05;0;287;41155
268435557;DUGUESCS;41138;DU GUESCLIN;1;ODYSSEUM;0;11:48:59;0;401;41155
268436062;DUGUESCS;41138;DU GUESCLIN;1;ODYSSEUM;0;11:56:10;0;832;41155
268436126;EUROMATW;41109;EUROMEDECINE;1;ODYSSEUM;0;11:46:50;0;272;41155
268435645;EUROMATW;41109;EUROMEDECINE;1;ODYSSEUM;0;11:53:00;0;642;41155
268436154;EUROMATW;41109;EUROMEDECINE;1;ODYSSEUM;0;11:59:00;0;1002;41155
268436034;GARETW;41135;GARE ST-ROCH T1;1;ODYSSEUM;0;11:45:02;0;164;41155
268435557;GARETW;41135;GARE ST-ROCH T1;1;ODYSSEUM;0;11:46:56;0;278;41155
268436062;GARETW;41135;GARE ST-ROCH T1;1;ODYSSEUM;0;11:54:07;0;709;41155
268435645;HALLPATW;41103;HALLES PAILLADE;1;ODYSSEUM;0;11:48:15;0;357;41155
268436154;HALLPATW;41103;HALLES PAILLADE;1;ODYSSEUM;0;11:54:15;0;717;41155
268435696;HALLPATW;41103;HALLES PAILLADE;1;ODYSSEUM;0;12:00:15;0;1077;41155
268436126;HTMASATW;41107;HAUTS DE MASSANE;1;ODYSSEUM;0;11:46:01;0;223;41155
268435645;HTMASATW;41107;HAUTS DE MASSANE;1;ODYSSEUM;0;11:52:00;0;582;41155
268436154;HTMASATW;41107;HAUTS DE MASSANE;1;ODYSSEUM;0;11:58:00;0;942;41155
268435601;LAPEYATW;41117;HOP. LAPEYRONIE;1;ODYSSEUM;0;11:49:14;0;416;41155
268436126;LAPEYATW;41117;HOP. LAPEYRONIE;1;ODYSSEUM;0;11:54:04;0;706;41155
268435645;LAPEYATW;41117;HOP. LAPEYRONIE;1;ODYSSEUM;0;12:00:14;0;1076;41155
268436034;LBLUMATW;41141;LEON BLUM;1;ODYSSEUM;0;11:50:42;0;504;41155
268435557;LBLUMATW;41141;LEON BLUM;1;ODYSSEUM;0;11:53:08;0;650;41155
268436062;LBLUMATW;41141;LEON BLUM;1;ODYSSEUM;0;12:00:12;0;1074;41155
268436062;BLANCATW;41129;LOUIS BLANC;1;ODYSSEUM;0;11:47:24;0;306;41155
268436098;BLANCATW;41129;LOUIS BLANC;1;ODYSSEUM;0;11:52:42;0;624;41155
268435601;BLANCATW;41129;LOUIS BLANC;1;ODYSSEUM;0;11:59:43;0;1045;41155
268435601;MALBOATW;41111;MALBOSC;1;ODYSSEUM;0;11:43:37;0;79;41155
268436126;MALBOATW;41111;MALBOSC;1;ODYSSEUM;0;11:49:01;0;403;41155
268435645;MALBOATW;41111;MALBOSC;1;ODYSSEUM;0;11:55:00;0;762;41155
268435513;MILLEATW;41153;MILLENAIRE;1;ODYSSEUM;0;11:44:41;0;143;41155
268435966;MILLEATW;41153;MILLENAIRE;1;ODYSSEUM;0;11:50:36;0;498;41155
268435994;MILLEATW;41153;MILLENAIRE;1;ODYSSEUM;0;11:52:35;0;617;41155
268435513;MONDIATW;41151;MONDIAL 98;1;ODYSSEUM;0;11:42:55;0;37;41155
268435966;MONDIATW;41151;MONDIAL 98;1;ODYSSEUM;0;11:49:13;0;415;41155
268435994;MONDIATW;41151;MONDIAL 98;1;ODYSSEUM;0;11:51:23;0;545;41155
268435645;MOSSOATW;41101;MOSSON T1;1;ODYSSEUM;0;11:44:00;0;102;41155
268436154;MOSSOATW;41101;MOSSON T1;1;ODYSSEUM;0;11:50:00;0;462;41155
268435696;MOSSOATW;41101;MOSSON T1;1;ODYSSEUM;0;11:56:00;0;822;41155
268435966;MOULAATW;41147;MOULARES;1;ODYSSEUM;0;11:46:12;0;234;41155
268435994;MOULAATW;41147;MOULARES;1;ODYSSEUM;0;11:47:57;0;339;41155
268436034;MOULAATW;41147;MOULARES;1;ODYSSEUM;0;11:57:08;0;890;41155
268435601;OCCITATW;41115;OCCITANIE;1;ODYSSEUM;0;11:47:37;0;319;41155
268436126;OCCITATW;41115;OCCITANIE;1;ODYSSEUM;0;11:53:01;0;643;41155
268435645;OCCITATW;41115;OCCITANIE;1;ODYSSEUM;0;11:59:00;0;1002;41155
268436062;PHILIATW;41125;PHILIPPIDES;1;ODYSSEUM;0;11:43:18;0;60;41155
268436098;PHILIATW;41125;PHILIPPIDES;1;ODYSSEUM;0;11:48:33;0;375;41155
268435601;PHILIATW;41125;PHILIPPIDES;1;ODYSSEUM;0;11:55:37;0;799;41155
